meaning,example,order,word,numbering
1_1,工作时间,1,1,1_1_1
1_1,那项工作要花费很多时间。,2,1,1_1_2
1_1,地球自转一周的时间是二十四小时。,3,1,1_1_3
1_2,请告诉我飞机的着陆时间。,1,1,1_2_1
1_2,比约定的时间晚到了一会儿。,2,1,1_2_2
1_2,现在是三点十五分。,3,1,1_2_3
1_3,时间的流逝,1,1,1_3_1
1_3,从那之后过了很长时间。,2,1,1_3_2
1_3,时间不等人。,3,1,1_3_3
1_4,〔到机场需要两个小时。〕➜ 小时(xiǎo shí),1,1,1_4_1
2_1,合理价格,1,2,2_1_1
2_1,价格上涨,2,2,2_1_2
2_1,普通的学生买不起价格太贵的商品。,3,2,2_1_3
3_1,公用电话,1,3,3_1_1
3_1,移动电话（手机）,2,3,3_1_2
3_1,电话号码,3,3,3_1_3
3_1,安装电话,4,3,3_1_4
3_2,打电话,1,3,3_2_1
3_2,接电话,2,3,3_2_2
3_2,他经常在晚上打电话聊天。,3,3,3_2_3
4_1,世界人口,1,4,4_1_1
4_1,周游世界,2,4,4_1_2
4_2,在黑帮的世界里，拳头就是法律。,1,4,4_2_1
4_2,在诗人的世界里，梦想只属于小孩子。,2,4,4_2_2
4_3,小孩儿总是对未知世界充满憧憬。,1,4,4_3_1
4_3,这部小说描写了人类的内心世界。,2,4,4_3_2
4_3,盲人看不见，但他们的内心世界是多姿多彩的。,3,4,4_3_3
5_1,处长级以上的领导,1,5,5_1_1
5_1,六十五岁以上的老年人免门票。,2,5,5_1_2
5_1,五楼以上的房子，爬起来很费力。,3,5,5_1_3
5_2,以上所分析的内容，简单概括如下。,1,5,5_2_1
5_2,与以上内容一致。,2,5,5_2_2
5_2,我们要明确以上三点要求。,3,5,5_2_3
5_3,〔记住明天一定要按时到校！就到这里。〕,1,5,5_3_1
5_3,"〔（学术会议结束发言时）我的发言到此为止。〕➜ 就到这里, 到此为止, 到此结束",2,5,5_3_2
5_4,〔事已至此，我们也不能让步。〕,1,5,5_4_1
5_4,〔既然已经决定了，就不再更改。〕,2,5,5_4_2
5_5,〔参加人员中，韩国10人，日本5人，中国5人，一共20人。〕,1,5,5_5_1
5_5,〔男性8名，女性5名，一共13名。〕➜ 一共(yí gòng),2,5,5_5_2
6_1,主打商品,1,6,6_1_1
6_1,销售商品,2,6,6_1_2
6_1,摆放商品,3,6,6_1_3
6_1,百货商场里的商品应有尽有。,4,6,6_1_4
6_1,建筑物也可利用市场营销战略来提高其价值。,5,6,6_1_5
7_1,朝鲜时代/高丽时代/三国时代,1,7,7_1_1
7_1,那种事情哪个时代都有。,2,7,7_1_2
7_1,当今的时代是一个你不努力，就会很快落后于别人的时代。,3,7,7_1_3
7_2,跟不上时代的步伐,1,7,7_2_1
7_2,时代的先驱,2,7,7_2_2
7_2,只有有远见的人，才能领先于时代。,3,7,7_2_3
7_3,青春时代,1,7,7_3_1
7_3,我想回到孩提时代。,2,7,7_3_2
7_3,他少年时代的梦想是环游世界。,3,7,7_3_3
7_4,〔这块表有年代了。〕,1,7,7_4_1
7_4,〔古装剧〕,2,7,7_4_2
7_4,〔旧衣服〕,3,7,7_4_3
8_1,文学作品,1,8,8_1_1
8_1,工艺美术作品,2,8,8_1_2
8_1,那部小说是文学史上不朽的作品。,3,8,8_1_3
8_1,我很喜欢张爱玲的文学作品。,4,8,8_1_4
8_2,〔这个球进得太精彩了！〕,1,8,8_2_1
9_1,根据需要,1,9,9_1_1
9_1,有/没有 必要~,2,9,9_1_2
9_1,感到有必要~,3,9,9_1_3
9_1,不要买不必要的东西。,4,9,9_1_4
9_1,工作中所需的知识,5,9,9_1_5
9_1,先做个简单的检查，必要时再做进一步的检查。,6,9,9_1_6
10_1,自然环境,1,10,10_1_1
10_1,自然景色,2,10,10_1_2
10_1,共同保护美丽的大自然吧。,3,10,10_1_3
10_1,休假时回到自然的怀抱，放松身心的人很多。,4,10,10_1_4
10_2,顺应自然,1,10,10_2_1
10_2,大自然的法则,2,10,10_2_2
10_2,顺从自然法则,3,10,10_2_3
10_3,着装自然,1,10,10_3_1
10_3,自然的动作,2,10,10_3_2
10_3,自然地浮现出笑容。,3,10,10_3_3
11_1,由于土器的使用，可以存储粮食了。,1,11,11_1_1
11_1,这种技术的使用不断增加。,2,11,11_1_2
11_1,电脑的广泛使用使人们的生活更加便捷。,3,11,11_1_3
12_1,收音机里传来了欢快的音乐。,1,12,12_1_1
12_1,伴随着音乐跳舞,2,12,12_1_2
12_1,欣赏古典音乐,3,12,12_1_3
12_1,音乐是感情的表现。,4,12,12_1_4
13_1,这个城镇里生活着一百多户人家。,1,13,13_1_1
13_1,生活在水边的生物,2,13,13_1_2
13_1,参加夏令营的孩子们愉快地生活在一起。,3,13,13_1_3
13_2,生活水平,1,13,13_2_1
13_2,因为经济不景气，所以生活很困难。,2,13,13_2_2
13_2,生活不能维持。,3,13,13_2_3
13_2,靠这点儿钱很难 生活下去/生活艰苦/生活拮据。,4,13,13_2_4
13_3,教师生活,1,13,13_3_1
13_3,选手生活,2,13,13_3_2
13_3,我的警察生活才刚刚开始。 *生涯: 教师生涯/运动生涯/从警生涯,3,13,13_3_3
14_1,解答问题,1,14,14_1_1
14_1,这次考试一共有五个问题。,2,14,14_1_2
14_1,练习题（习题）,3,14,14_1_3
14_1,考试题（试题）,4,14,14_1_4
14_2,讨论~问题,1,14,14_2_1
14_2,对～问题进行讨论,2,14,14_2_2
14_2,核电站的存留问题,3,14,14_2_3
14_3,制造问题,1,14,14_3_1
14_3,解决问题,2,14,14_3_2
14_3,发展成国际问题,3,14,14_3_3
14_3,因个人问题辞职,4,14,14_3_4
14_3,那部机器又出问题了。,5,14,14_3_5
15_1,随着网络的日益发展，全世界的人们进行信息交换成为可能。,1,15,15_1_1
15_1,可能的话，我一定参加。,2,15,15_1_2
15_1,寻找解决问题的可能方案。,3,15,15_1_3
15_2,我们要提前考虑到一切发生差错的可能。,1,15,15_2_1
15_3,"明天他可能来,也可能不来。",1,15,15_3_1
16_1,货币流通量与物价的关系,1,16,16_1_1
16_1,生产与消费的关系,2,16,16_1_2
16_1,经济与国防之间的关系,3,16,16_1_3
16_1,我们都误会了他们二人之间的关系。,4,16,16_1_4
16_2,利用关系进入公司,1,16,16_2_1
16_3,有关系/没有关系,1,16,16_3_1
16_3,这事跟他没有关系。,2,16,16_3_2
16_3,他与这个事件没有任何关系。,3,16,16_3_3
16_3,即使那样，也和我没有任何关系。,4,16,16_3_4
16_3,有关这项工作的资料,5,16,16_3_5
16_4,他和很多女人发生过关系。,1,16,16_4_1
16_4,不知不觉间她与同事发生了关系。,2,16,16_4_2
16_4,两人发生了不正当关系。,3,16,16_4_3
16_5,因为时间关系，今天就到这里。,1,16,16_5_1
16_5,因为体力的关系，他退出了比赛。,2,16,16_5_2
16_5,"由于时间的关系,我们没有详谈。",3,16,16_5_3
16_6,〔你不要再管这件事了。〕,1,16,16_6_1
17_1,比起过去和现在，更重视未来。,1,17,17_1_1
17_1,现在（下午三点）的气温,2,17,17_1_2
17_1,现在是 2019 年 7 月 10日。,3,17,17_1_3
17_2,飞机现在正经过韩国的领空。,1,17,17_2_1
18_1,高考,1,18,18_1_1
18_1,考上大学,2,18,18_1_2
18_1,大学毕业,3,18,18_1_3
18_2,市民大学（成人高校）,1,18,18_2_1
18_2,老年大学,2,18,18_2_2
19_1,利用朋友做生意,1,19,19_1_1
19_1,利用职位之便谋取私利,2,19,19_1_2
19_2,〔乘坐公交车/乘坐地铁/使用公共交通工具〕,1,19,19_2_1
19_2,〔使用自动贩卖机〕,2,19,19_2_2
19_2,〔欢迎您今后经常光临本店。〕,3,19,19_2_3
20_1,这个药的效果已显现。,1,20,20_1_1
20_1,认真练习后，很有效果。,2,20,20_1_2
20_2,音响效果,1,20,20_2_1
20_2,这次演出的音响效果和灯光效果都很不错。,2,20,20_2_2
21_1,这部机器分为三个部分。/这部机器由三个部分组成。,1,21,21_1_1
21_1,袖口部分用蕾丝边点缀。,2,21,21_1_2
22_1,尝试各种方法,1,22,22_1_1
22_1,不管使用什么手段和方法,2,22,22_1_2
22_1,那不是个好方法。,3,22,22_1_3
22_1,想出一个好方法 *办法,4,22,22_1_4
23_1,这家商店的营业时间是早上九点至下午六点。,1,23,23_1_1
23_1,这家店周六也营业吗？,2,23,23_1_2
24_1,信息处理/信息检索,1,24,24_1_1
24_1,收集/打听/挖掘/获得/透露/泄露 有关〜的信息,2,24,24_1_2
24_1,有关〜的信息不充分,3,24,24_1_3
24_1,收集敌人情报,4,24,24_1_4
25_1,今天我家来了一位很特别的客人。,1,25,25_1_1
25_1,他是一个非常特别的学生。,2,25,25_1_2
25_1,今天特别冷。,3,25,25_1_3
25_1,这个东西在使用时要特别小心。,4,25,25_1_4
26_1,他希望成为一名教师。,1,26,26_1_1
26_1,大家都说一说自己今年的希望吧。,2,26,26_1_2
26_1,你希望将来做什么？,3,26,26_1_3
26_2,抱有希望,1,26,26_2_1
26_2,给予年轻人希望,2,26,26_2_2
26_2,放弃/失去 希望,3,26,26_2_3
26_3,有/没有 希望,1,26,26_3_1
27_1,韩国/中国/日本文化,1,27,27_1_1
27_1,文化差异,2,27,27_1_2
27_1,每个民族都有自己独特的文化。,3,27,27_1_3
27_2,享受文化生活,1,27,27_2_1
27_2,朝鲜后期的文化,2,27,27_2_2
28_1,技术不错/技术超群,1,28,28_1_1
28_1,磨练技术,2,28,28_1_2
28_1,技术的进步,3,28,28_1_3
28_1,半导体生产技术,4,28,28_1_4
28_1,技术落后,5,28,28_1_5
29_1,具备基本条件/磨练基本技术,1,29,29_1_1
29_1,百姓/农业 是国家的根本。,2,29,29_1_2
29_2,我基本同意你所提出的计划。,1,29,29_2_1
29_2,今冬征兵工作基本完成。,2,29,29_2_2
30_1,这个词是什么意思？,1,30,30_1_1
30_1,用词典查单词的意思。,2,30,30_1_2
30_1,在词典里查词的意思,3,30,30_1_3
30_1,他的话里含有讽刺意味。,4,30,30_1_4
30_1,今天他的行动不知道意味着什么。,5,30,30_1_5
30_2,〔有/没有 意义 的人生/工作〕,1,30,30_2_1
30_2,〔那么做一点儿意义也没有。〕,2,30,30_2_2
30_2,〔此次协商取得了有意义的进展。〕➜ 意义(yìyì),3,30,30_2_3
31_1,自动机械/自动装置,1,31,31_1_1
