word,hangeul,sound,numbering
時間,시간,sigan,1
價格,가격,gagyeok,2
電話,전화,jeonhwa,3
世界,세계,segye,4
以上,이상,isang,5
商品,상품,sangpum,6
時代,시대,sidae,7
作品,작품,jakpum,8
必要,필요,piryo,9
自然,자연,jayeon,10
使用,사용,sayong,11
音樂,음악,eumak,12
生活,생활,saenghwal,13
問題,문제,munje,14
可能,가능,ganeung,15
關係,관계,gwangye,16
現在,현재,hyeonjae,17
大學,대학,daehak,18
利用,이용,iyong,19
效果,효과,hyogwa,20
部分,부분,bubun,21
方法,방법,bangbeop,22
營業,영업,yeongeop,23
情報,정보,jeongbo,24
特別,특별,teukbyeol,25
希望,희망,huimang,26
文化,문화,munhwa,27
技術,기술,gisul,28
基本,기본,gibon,29
意味,의미,uimi,30
自動,자동,jadong,31
內容,내용,naeyong,32
自由,자유,jayu,33
簡單,간단,gandan,34
中心,중심,jungsim,35
最近,최근,choegeun,36
參加,참가,chamga,37
結婚,결혼,gyeolhon,38
一般,일반,ilban,39
社會,사회,sahoe,40
保險,보험,boheom,41
學校,학교,hakgyo,42
開發,개발,gaebal,43
先生,선생,seonsaeng,44
程度,정도,jeongdo,45
大會,대회,daehoe,46
發表,발표,balpyo,47
印象,인상,insang,48
結果,결과,gyeolgwa,49
存在,존재,jonjae,50
最初,최초,choecho,51
裝備,장비,jangbi,52
消費,소비,sobi,53
採用,채용,chaeyong,54
全體,전체,jeonche,55
飛行,비행,bihaeng,56
國際,국제,gukje,57
企業,기업,gieop,58
專門,전문,jeonmun,59
中央,중앙,jungang,60
普通,보통,botong,61
經濟,경제,gyeongje,62
現代,현대,hyeondae,63
當時,당시,dangsi,64
實際,실제,silje,65
學生,학생,haksaeng,66
銀行,은행,eunhaeng,67
旅行,여행,yeohaeng,68
以下,이하,iha,69
說明,설명,seolmyeong,70
感覺,감각,gamgak,71
經驗,경험,gyeongheom,72
活躍,활약,hwaryak,73
代表,대표,daepyo,74
通信,통신,tongsin,75
主人,주인,juin,76
安心,안심,ansim,77
以外,이외,ioe,78
表現,표현,pyohyeon,79
意識,의식,uisik,80
非常,비상,bisang,81
活動,활동,hwaldong,82
運動,운동,undong,83
新聞,신문,sinmun,84
理由,이유,iyu,85
指導,지도,jido,86
實現,실현,silhyeon,87
家庭,가정,gajeong,88
變化,변화,byeonhwa,89
位置,위치,wichi,90
種類,종류,jongnyu,91
完全,완전,wanjeon,92
資料,자료,jaryo,93
同時,동시,dongsi,94
個人,개인,gaein,95
政治,정치,jeongchi,96
完成,완성,wanseong,97
設計,설계,seolgye,98
表示,표시,pyosi,99
藝術,예술,yesul,100
發行,발행,balhaeng,101
決定,결정,gyeoljeong,102
重要,중요,jungyo,103
評價,평가,pyeongga,104
是非,시비,sibi,105
方式,방식,bangsik,106
有名,유명,yumyeong,107
製品,제품,jepum,108
當然,당연,dangyeon,109
目的,목적,mokjeok,110
材料,재료,jaeryo,111
時期,시기,sigi,112
注意,주의,juui,113
傳統,전통,jeontong,114
以前,이전,ijeon,115
處理,처리,cheori,116
能力,능력,neungnyeok,117
方向,방향,banghyang,118
交通,교통,gyotong,119
讀者,독자,dokja,120
豊富,풍부,pungbu,121
季節,계절,gyejeol,122
世紀,세기,segi,123
構成,구성,guseong,124
原因,원인,wonin,125
食品,식품,sikpum,126
直接,직접,jikjeop,127
